Ｃ経験,C Exp
Ｖ経験,V Exp
Ａ経験,A Exp
Ｂ経験,B Exp

Ｃ絶頂経験,C Orgasm Exp
Ｖ絶頂経験,V Orgasm Exp
Ａ絶頂経験,A Orgasm Exp
Ｂ絶頂経験,B Orgasm Exp

絶頂経験,Orgasm Exp
射精経験,Ejaculation Exp
噴乳経験,Lactation Exp
放尿経験,Urination Exp
精液経験,Semen Exp
精飲経験,Semen Drinking Exp
排便経験,Defecation Exp

Ｖ性交経験,V Sex Exp
Ａ性交経験,A Sex Exp
自慰経験,Masturbation Exp
調教自慰経験,Training Masturb Exp
手淫経験,Handjob Exp
口淫経験,Oral Sex Exp
パイズリ経験,Titjob Exp
キス経験,Kissing Exp
道具使用経験,Tool Usage Exp

催眠精液経験,Hypnotism Semen Exp
催眠精飲経験,Hypno Semen Drinking Exp
催眠Ｖ性交経験,Hypnotism V Sex Exp
催眠Ａ性交経験,Hypnotism A Sex Exp
催眠口淫経験,Hypnotism Oral Sex Exp
催眠キス経験,Hypnotism Kissing Exp
催眠搾乳経験,Hypnotism Milking Exp

奉仕快楽経験,Service Exp
愛情経験,Love Exp
苦痛快楽経験,Masochistic Exp
嗜虐快楽経験,Sadistic Exp
露出快楽経験,Exposure Exp

調教経験,Training Exp
レズ経験,Lesbian Exp
ゲイ経験,BoyLove Exp
異常経験,Abnormal Exp
Ｖ拡張経験,V Stretch Exp
Ａ拡張経験,A Stretch Exp
緊縛経験,Bondage Exp
被強姦経験,Raped Exp
被輪姦経験,Gang Raped Exp
被睡姦経験,Sleep Raped Exp

清掃経験,Cleaning Exp
会話経験,Speech Exp
撮影経験,Filming Exp
被写経験,Be Filmed Exp
戦闘経験,Combat Exp
学習経験,Education Exp
料理経験,Cooking Exp
ポルノ経験,Porn Exp

浮気絶頂経験,Cheating Orgasm Exp
浮気精液経験,Cheating Semen Exp
浮気精飲経験,Cheat Semen Drinking Exp
浮気Ｖ性交経験,Cheating V Sex Exp
浮気Ａ性交経験,Cheating A Sex Exp
浮気口淫経験,Cheating Oral Sex Exp
浮気キス経験,Cheating Kissing Exp
浮気外泊経験,Cheating Sleepover Exp
NTR陥落経験,NTR Submitting Exp
公衆便所陥落経験,Slut Submitting Exp
売春経験,Prostitution Exp
買春経験,Prostitute Usage Exp
浮気人数,Cheated With
前回浮気人数,Previous Cheating
